inn,title,url
www2.deloitte.com,2022 Oil and Gas Industry Outlook | Deloitte US,https://www2.deloitte.com/us/en/pages/energy-and-resources/articles/oil-and-gas-industry-outlook.html
www.investopedia.com,How the Oil and Gas Industry Works - Investopedia,https://www.investopedia.com/investing/oil-gas-industry-overview/
www.mckinsey.com,Oil & Gas Insights | McKinsey & Company,https://www.mckinsey.com/industries/oil-and-gas/our-insights
guides.loc.gov,Introduction - Oil and Gas Industry: A Research Guide,https://guides.loc.gov/oil-and-gas-industry
en.wikipedia.org,Petroleum industry - Wikipedia,https://en.wikipedia.org/wiki/Petroleum_industry
www.oilandgasiq.com,Introduction to Oil and Gas Industry,https://www.oilandgasiq.com/strategy-management-and-information/articles/oil-gas-industry-an-introduction
www.oilandgasiq.com,The Top 10 Oil & Gas Companies in the World: 2019,https://www.oilandgasiq.com/strategy-management-and-information/articles/oil-and-gas-companies
www.ogj.com,Oil & Gas Journal: Home,https://www.ogj.com/
www.api.org,API American Petroleum Institute,https://www.api.org/
www.worldoil.com,"Global Upstream Oil, Gas News | World Oil Online",https://www.worldoil.com/news
www.bls.gov,Oil and Gas Extraction: NAICS 211 - Bureau of Labor Statistics,https://www.bls.gov/iag/tgs/iag211.htm
www.capp.ca,Glossary | Oil & Gas Industry Terms & Defintions | CAPP - Canadian ...,https://www.capp.ca/resources/glossary/
www.epa.gov,Overview of the Oil and Natural Gas Industry | US EPA,https://www.epa.gov/natural-gas-star-program/overview-oil-and-natural-gas-industry
www.pwc.com,Oil and gas industry insights and services - PwC,https://www.pwc.com/gx/en/industries/energy-utilities-resources/oil-gas-energy.html
www.ft.com,Oil & Gas industry | Financial Times,https://www.ft.com/companies/oil-gas
home.kpmg,Oil & Gas - KPMG Global,https://home.kpmg/xx/en/home/industries/energy/oil-gas.html
www.bcg.com,Oil and Gas Industry Consulting & Strategy | BCG,https://www.bcg.com/en-us/industries/energy/oil-gas/overview
ihsmarkit.com,Oil & Gas Market Analysis and Trends | IHS Markit,https://ihsmarkit.com/industry/oil-gas.html
www.spglobal.com,"Need for investment is critical for oil, gas industry: World Petroleum ...",https://www.spglobal.com/platts/en/market-insights/latest-news/energy-transition/120721-need-for-investment-is-critical-for-oil-gas-industry-world-petroleum-congress-panelists
new.siemens.com,Oil and Gas Industry | Market-specific Solutions | Siemens Global,https://new.siemens.com/global/en/markets/oil-gas.html
www.ibef.org,Oil & Gas Industry in India - IBEF,https://www.ibef.org/industry/oil-gas-india.aspx
www.wsj.com,"Energy News, Oil News, Gas News, Nuclear & Wind Industry, Gasoline",https://www.wsj.com/news/business/energy-oil-gas
www.visualcapitalist.com,Ranked: The Largest Oil and Gas Companies in the World - Visual ...,https://www.visualcapitalist.com/ranked-the-largest-oil-and-gas-companies-in-the-world/
www.wipro.com,Oil and Gas Technologies - Wipro,https://www.wipro.com/oil-and-gas/
apnews.com,Oil and gas industry - AP News,https://apnews.com/hub/oil-and-gas-industry
www.veolia.com,The new challenges of the oil & gas industry | Veolia,https://www.veolia.com/en/newsroom/thematic-reports/the-new-challenges-of-the-oil-and-gas-industry
www.iogp.org,IOGP - The International Association of Oil & Gas Producers - | IOGP,https://www.iogp.org/
www.womblebonddickinson.com,ESG: How it Applies to the Oil & Gas Industry and Why It Matters,https://www.womblebonddickinson.com/us/insights/articles-and-briefings/esg-how-it-applies-oil-gas-industry-and-why-it-matters
www.forbes.com,Challenges And Trends For The Oil And Gas Industry - Forbes,https://www.forbes.com/sites/uhenergy/2021/03/10/challenges-and-trends-for-the-oil-and-gas-industry/
www.ftc.gov,Oil and Gas Industry Initiatives | Federal Trade Commission,https://www.ftc.gov/tips-advice/competition-guidance/industry-guidance/oil-and-gas
www.ilo.org,Oil and gas production (ILO Library),https://www.ilo.org/inform/online-information-resources/research-guides/economic-and-social-sectors/energy-mining/oil-gas-production/lang--en/index.htm
www.cnbc.com,Oil and Gas - CNBC,https://www.cnbc.com/oil-gas/
www.cnn.com,Here to stay or gone in 30 years? Inside the fight over the future - CNN,https://www.cnn.com/2021/10/30/energy/oil-companies-aberdeen-cop26/index.html
www.ey.com,Oil & Gas – Our latest thinking | EY - US,https://www.ey.com/en_us/oil-gas
www.osha.gov,Control and Prevention - Oil and Gas Industry Workers and Employers,https://www.osha.gov/coronavirus/control-prevention/oil-gas
www.reuters.com,U.S. unveils crackdown on methane from oil and gas industry | Reuters,https://www.reuters.com/business/environment/us-unveils-crackdown-methane-starting-with-oil-gas-rules-2021-11-02/
www.iea.org,The Oil and Gas Industry in Energy Transitions – Analysis - IEA,https://www.iea.org/reports/the-oil-and-gas-industry-in-energy-transitions
www.oracle.com,Oil and Gas Solutions | Oracle,https://www.oracle.com/industries/oil-gas/
www.coursera.org,Oil & Gas Industry Operations and Markets | Coursera,https://www.coursera.org/learn/oilandgas
www.eia.gov,Where our natural gas comes from - US Energy Information ...,https://www.eia.gov/energyexplained/natural-gas/where-our-natural-gas-comes-from.php
